Line Item,Current Period,Prior Period
Cash & Equivalents,420000,390000
Accounts Receivable,980000,930000
Work in Progress / Unbilled,310000,295000
Inventory & Materials,220000,205000
Prepaid Expenses,48000,45000
Equipment & Vehicles (Net),1020000,1080000
Other Assets,62000,58000
TOTAL ASSETS,3060000,3003000
Accounts Payable,620000,585000
Customer Deposits / Unearned Revenue,260000,245000
Credit Line / LOC,210000,195000
Accrued Payroll & Taxes,145000,138000
Current Portion of Debt,180000,175000
Long-Term Debt,820000,870000
TOTAL LIABILITIES,2235000,2208000
Owner Capital,720000,680000
Retained Earnings,105000,115000
TOTAL EQUITY,825000,795000
