Section,Line Item,Current Period,Prior Period,Change
ASSETS,Cash & Cash Equivalents,59849,56856,2993
ASSETS,Accounts Receivable,59849,56856,2993
ASSETS,Other Current Assets,51302,48736,2566
ASSETS,TOTAL CURRENT ASSETS,171000,162450,8550
ASSETS,Property & Equipment (Gross),298571,289613,8958
ASSETS,Accumulated Depreciation,-89571,-86883,-2688
ASSETS,Net Property & Equipment,209000,202730,6270
ASSETS,TOTAL ASSETS,380000,368600,11400
LIABILITIES,Accounts Payable,36480,35385,1095
LIABILITIES,Accrued Liabilities,22800,22116,684
LIABILITIES,Other Current Liabilities,31920,30962,958
LIABILITIES,TOTAL CURRENT LIABILITIES,91200,88464,2736
LIABILITIES,Long-Term Debt,136800,132696,4104
LIABILITIES,TOTAL LIABILITIES,228000,223440,4560
EQUITY,Owner Capital,106400,103208,3192
EQUITY,Retained Earnings,45600,41952,3648
EQUITY,TOTAL EQUITY,152000,145160,6840
SUMMARY,TOTAL LIABILITIES & EQUITY,380000,368600,11400
