Section,Line Item,Current Period,Prior Period,Change
ASSETS,Cash & Cash Equivalents,66150,62842,3308
ASSETS,Accounts Receivable,66150,62842,3308
ASSETS,Other Current Assets,56700,53865,2835
ASSETS,TOTAL CURRENT ASSETS,189000,179550,9450
ASSETS,Property & Equipment (Gross),330000,320100,9900
ASSETS,Accumulated Depreciation,-99000,-96030,-2970
ASSETS,Net Property & Equipment,231000,224070,6930
ASSETS,TOTAL ASSETS,420000,407400,12600
LIABILITIES,Accounts Payable,40320,39110,1210
LIABILITIES,Accrued Liabilities,25200,24444,756
LIABILITIES,Other Current Liabilities,35280,34221,1059
LIABILITIES,TOTAL CURRENT LIABILITIES,100800,97776,3024
LIABILITIES,Long-Term Debt,151200,146664,4536
LIABILITIES,TOTAL LIABILITIES,252000,246960,5040
EQUITY,Owner Capital,117599,114071,3528
EQUITY,Retained Earnings,50401,46369,4032
EQUITY,TOTAL EQUITY,168000,160440,7560
SUMMARY,TOTAL LIABILITIES & EQUITY,420000,407400,12600
