Line Item,Current Period,Prior Period
Cash & Equivalents,160000,135000
Accounts Receivable,215000,205000
Inventory & Supplies,55000,52000
Prepaid Expenses,18000,17000
Equipment (Net),520000,555000
Vehicles (Net),140000,155000
Other Assets,22000,21000
TOTAL ASSETS,1130000,1140000
Accounts Payable,95000,90000
Accrued Payroll & Taxes,68000,65000
Credit Line / LOC,75000,65000
Current Portion of Debt,52000,50000
Long-Term Debt,230000,255000
TOTAL LIABILITIES,520000,525000
Owner Equity,610000,590000
TOTAL EQUITY,610000,590000
