Section,Line Item,Current Period,Prior Period,Change
ASSETS,Cash & Cash Equivalents,102375,97256,5119
ASSETS,Accounts Receivable,102375,97256,5119
ASSETS,Other Current Assets,87750,83362,4388
ASSETS,TOTAL CURRENT ASSETS,292500,277875,14625
ASSETS,Property & Equipment (Gross),510714,495392,15322
ASSETS,Accumulated Depreciation,-153214,-148617,-4597
ASSETS,Net Property & Equipment,357500,346775,10725
ASSETS,TOTAL ASSETS,650000,630500,19500
LIABILITIES,Accounts Payable,62400,60528,1872
LIABILITIES,Accrued Liabilities,39000,37830,1170
LIABILITIES,Other Current Liabilities,54600,52962,1638
LIABILITIES,TOTAL CURRENT LIABILITIES,156000,151320,4680
LIABILITIES,Long-Term Debt,234000,226980,7020
LIABILITIES,TOTAL LIABILITIES,390000,382200,7800
EQUITY,Owner Capital,182000,176540,5460
EQUITY,Retained Earnings,78000,71760,6240
EQUITY,TOTAL EQUITY,260000,248300,11700
SUMMARY,TOTAL LIABILITIES & EQUITY,650000,630500,19500
