Section,Line Item,Current Period,Prior Period,Change
ASSETS,Cash & Cash Equivalents,47250,44887,2363
ASSETS,Accounts Receivable,47250,44887,2363
ASSETS,Other Current Assets,40500,38475,2025
ASSETS,TOTAL CURRENT ASSETS,135000,128250,6750
ASSETS,Property & Equipment (Gross),235714,228642,7072
ASSETS,Accumulated Depreciation,-70714,-68592,-2122
ASSETS,Net Property & Equipment,165000,160050,4950
ASSETS,TOTAL ASSETS,300000,291000,9000
LIABILITIES,Accounts Payable,28800,27936,864
LIABILITIES,Accrued Liabilities,18000,17460,540
LIABILITIES,Other Current Liabilities,25200,24444,756
LIABILITIES,TOTAL CURRENT LIABILITIES,72000,69840,2160
LIABILITIES,Long-Term Debt,108000,104760,3240
LIABILITIES,TOTAL LIABILITIES,180000,176400,3600
EQUITY,Owner Capital,84000,81480,2520
EQUITY,Retained Earnings,36000,33120,2880
EQUITY,TOTAL EQUITY,120000,114600,5400
SUMMARY,TOTAL LIABILITIES & EQUITY,300000,291000,9000
