Line Item,Current Period,Prior Period
Net Income,482000,413000
Depreciation & Amortization,165000,158000
Change in Accounts Receivable,-50000,-62000
Change in Work in Progress / Unbilled,-15000,-18000
Change in Inventory & Materials,-15000,-12000
Change in Accounts Payable,35000,28000
Change in Customer Deposits,15000,12000
Change in Accrued Payroll & Taxes,7000,6000
Net Cash from Operating Activities,624000,525000
Capital Expenditures,-185000,-210000
Net Cash from Investing Activities,-185000,-210000
Borrowings (Net),-25000,120000
Debt Principal Payments,-165000,-150000
Owner Distributions,-210000,-195000
Net Cash from Financing Activities,-400000,-225000
Beginning Cash,390000,300000
Net Increase (Decrease) in Cash,39000,90000
Ending Cash,429000,390000
