Section,Line Item,Current Period,Prior Period,Change
OPERATING ACTIVITIES,Net Income,535289,513877,21412
OPERATING ACTIVITIES,Depreciation & Amortization,64234,61022,3212
OPERATING ACTIVITIES,Change in Working Capital,-16058,-14452,-1606
OPERATING ACTIVITIES,Net Cash from Operating Activities,583465,560447,23018
INVESTING ACTIVITIES,Purchase of Property & Equipment,-107057,-117762,10705
INVESTING ACTIVITIES,Net Cash from Investing Activities,-107057,-117762,10705
FINANCING ACTIVITIES,Debt Principal Payments,-42823,-44964,2141
FINANCING ACTIVITIES,Owner Distributions,-32117,-30511,-1606
FINANCING ACTIVITIES,Net Cash from Financing Activities,-74940,-75475,535
SUMMARY,Net Increase (Decrease) in Cash,401468,367210,34258
SUMMARY,Beginning Cash,267644,240879,26765
SUMMARY,Ending Cash,669112,608089,61023
