Section,Line Item,Current Period,Prior Period,Change
REVENUES,Product/Service 1,14000,11689,2311
REVENUES,Product/Service 2,25000,22111,2889
REVENUES,Product/Service 3,8000,3899,4101
REVENUES,Other Revenue,400,203,197
REVENUES,TOTAL REVENUES,47400,37902,9498
COST OF GOODS SOLD,Product/Service 1,4000,3506.7,493.3
COST OF GOODS SOLD,Product/Service 2,13000,11055.5,1944.5
COST OF GOODS SOLD,Product/Service 3,3200,1559.6,1640.4
COST OF GOODS SOLD,Salaries-Direct,1900,1766,134
COST OF GOODS SOLD,Payroll Taxes and Benefits-Direct,225,215,10
COST OF GOODS SOLD,Depreciation-Direct,612,612,0
COST OF GOODS SOLD,Supplies,400,310,90
COST OF GOODS SOLD,Other Direct Costs,50,24,26
COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,23387,19048.8,4338.2
SUMMARY,GROSS PROFIT (LOSS),24013,18853.2,5159.8
OPERATING EXPENSES,Advertising and Promotion,300,206,94
OPERATING EXPENSES,Automobile/Transportation,50,45,5
OPERATING EXPENSES,Bad Debts/Losses and Thefts,25,0,25
OPERATING EXPENSES,Bank Service Charges,30,25,5
OPERATING EXPENSES,Business Licenses and Permits,50,0,50
OPERATING EXPENSES,Charitable Contributions,0,100,-100
OPERATING EXPENSES,Computer and Internet,125,129,-4
OPERATING EXPENSES,Depreciation-Indirect,1277,1277,0
OPERATING EXPENSES,Dues and Subscriptions,25,0,25
OPERATING EXPENSES,Insurance,600,600,0
OPERATING EXPENSES,Meals and Entertainment,200,185,15
OPERATING EXPENSES,Merchant Account Fees,600,502,98
OPERATING EXPENSES,Miscellaneous Expense,25,30,-5
OPERATING EXPENSES,Office Supplies,50,40,10
OPERATING EXPENSES,Payroll Processing,200,201,-1
OPERATING EXPENSES,Postage and Delivery,20,18,2
OPERATING EXPENSES,Printing and Reproduction,50,33,17
OPERATING EXPENSES,Professional Services - Legal, 250,207,43
OPERATING EXPENSES,Occupancy,1600,1600,0
OPERATING EXPENSES,Rental Payments,525,514,11
OPERATING EXPENSES,Salaries-Indirect,4000,3805,195
OPERATING EXPENSES,Payroll Taxes and Benefits-Indirect,425,411,14
OPERATING EXPENSES,Telephone,500,488,12
OPERATING EXPENSES,Travel,100,56,44
OPERATING EXPENSES,Utilities,900,790,110
OPERATING EXPENSES,TOTAL OPERATING EXPENSES,11927,11262,665
SUMMARY,OPERATING PROFIT (LOSS),12086,7591.2,4494.8
INTEREST AND TAXES,Interest (Income),-50,-32,-18
INTEREST AND TAXES,Interest Expense,700,689,11
INTEREST AND TAXES,Income Tax Expense,5200,3200,2000
INTEREST AND TAXES,TOTAL INTEREST AND TAXES,5850,3857,1993
SUMMARY,NET INCOME (LOSS),6236,3734.2,2501.8
