Month,Total_Revenue,Total_COGS,Gross_Profit,Operating_Expenses,Net_Income
Jan,830300,431756,398544,199272,199272
Feb,839040,436301,402739,443012,-40273
Mar,995220,517514,477706,238853,238853
Apr,1005480,522850,482630,241315,241315
May,1015740,528185,487555,243778,243777
Jun,950000,494000,456000,228000,228000
Jul,959500,498940,460560,230280,230280
Aug,969000,503880,465120,232560,232560
Sep,1056780,549526,507254,253627,253627
Oct,1067040,554861,512179,563396,-51217
Nov,997500,518700,478800,239400,239400
Dec,1007000,523640,483360,241680,241680
