Section,Line Item,Current Period,Prior Period,Change
REVENUES,Exams & Diagnostics,15750.0,15120.0,630.0
REVENUES,Preventive - Cleanings,17500.0,16800.0,700.0
REVENUES,Restorative - Fillings,19250.0,18480.0,770.0
REVENUES,Endodontics (Root Canals),15750.0,15120.0,630.0
REVENUES,Oral Surgery,17500.0,16800.0,700.0
REVENUES,Crowns & Bridges,19250.0,18480.0,770.0
REVENUES,Implants,15750.0,15120.0,630.0
REVENUES,Orthodontics / Aligners,17500.0,16800.0,700.0
REVENUES,Whitening & Cosmetic,19250.0,18480.0,770.0
REVENUES,Lab Fee Reimbursements,15750.0,15120.0,630.0
REVENUES,Other Clinical Income,17500.0,16800.0,700.0
REVENUES,Retail Products (Toothpaste etc.),19250.0,18480.0,770.0
REVENUES,TOTAL REVENUE,210000.0,201600.0,8400.0
COST OF GOODS SOLD,Dental Supplies,3402.0,3299.94,102.06
COST OF GOODS SOLD,Clinical Consumables,3855.6,3739.93,115.67
COST OF GOODS SOLD,Lab Fees - Crowns & Bridges,4309.2,4179.92,129.28
COST OF GOODS SOLD,Lab Fees - Ortho & Aligners,4762.8,4619.92,142.88
COST OF GOODS SOLD,Implant Components,3402.0,3299.94,102.06
COST OF GOODS SOLD,X-ray & Imaging Supplies,3855.6,3739.93,115.67
COST OF GOODS SOLD,Sterilization Supplies,4309.2,4179.92,129.28
COST OF GOODS SOLD,Patient Comfort Items,4762.8,4619.92,142.88
COST OF GOODS SOLD,Licenses & Clinical Subscriptions,3402.0,3299.94,102.06
COST OF GOODS SOLD,Small Equipment Replacement,3855.6,3739.93,115.67
COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,39916.8,38719.3,1197.5
OPERATING EXPENSES,Dentist Compensation,5172.63,5069.18,103.45
OPERATING EXPENSES,Hygienist Wages,5747.37,5632.42,114.95
OPERATING EXPENSES,Dental Assistant Wages,6322.11,6195.67,126.44
OPERATING EXPENSES,Front Desk & Admin Wages,5172.63,5069.18,103.45
OPERATING EXPENSES,Payroll Taxes & Benefits,5747.37,5632.42,114.95
OPERATING EXPENSES,Office Rent,6322.11,6195.67,126.44
OPERATING EXPENSES,Utilities,5172.63,5069.18,103.45
OPERATING EXPENSES,Equipment Lease,5747.37,5632.42,114.95
OPERATING EXPENSES,"Software (Practice Mgmt, Imaging)",6322.11,6195.67,126.44
OPERATING EXPENSES,Billing & Collections Service,5172.63,5069.18,103.45
OPERATING EXPENSES,Marketing & New Patient Ads,5747.37,5632.42,114.95
OPERATING EXPENSES,Continuing Education & Licenses,6322.11,6195.67,126.44
OPERATING EXPENSES,Insurance - Malpractice,5172.63,5069.18,103.45
OPERATING EXPENSES,Insurance - General Liability,5747.37,5632.42,114.95
OPERATING EXPENSES,Janitorial & Waste Disposal,6322.11,6195.67,126.44
OPERATING EXPENSES,Office & Breakroom Supplies,5172.63,5069.18,103.45
OPERATING EXPENSES,Bank & Merchant Fees,5747.37,5632.42,114.95
OPERATING EXPENSES,Professional Fees (CPA/Legal),6322.11,6195.67,126.44
OPERATING EXPENSES,Owner Salary / Draw,5172.63,5069.18,103.45
OPERATING EXPENSES,TOTAL OPERATING EXPENSES,108625.29,106452.78,2172.51
SUMMARY,GROSS PROFIT (LOSS),170083.2,162880.7,7202.5
SUMMARY,OPERATING PROFIT (LOSS),61457.91,56427.92,5029.99
SUMMARY,NET INCOME (LOSS),61457.91,56427.92,5029.99
