Section,Line Item,Current Period,Prior Period,Change
REVENUES,Preventive and Hygiene Services,120000,110000,10000
REVENUES,Restorative and Major Procedures,180000,165000,15000
REVENUES,Orthodontic and Cosmetic Services,60000,50000,10000
REVENUES,Other Clinical Income,5000,4000,1000
REVENUES,TOTAL REVENUES,365000,329000,36000
COST OF GOODS SOLD,Clinical Supplies,20000,18000,2000
COST OF GOODS SOLD,Dental Lab Fees,22000,20000,2000
COST OF GOODS SOLD,Direct Wages - Hygienists and Assistants,40000,38000,2000
COST OF GOODS SOLD,Direct Payroll Taxes and Benefits,10000,9000,1000
COST OF GOODS SOLD,Radiology and Imaging Costs,5000,4500,500
COST OF GOODS SOLD,Implant Components and Specialty Materials,7000,6000,1000
COST OF GOODS SOLD,Other Direct Clinical Costs,4000,3500,500
COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,108000,99000,9000
SUMMARY,GROSS PROFIT (LOSS),257000,230000,27000
OPERATING EXPENSES,Salaries - Admin and Front Desk,55000,50000,5000
OPERATING EXPENSES,Owner-Doctor Management Compensation,30000,28000,2000
OPERATING EXPENSES,Payroll Taxes and Benefits - Indirect,18000,16000,2000
OPERATING EXPENSES,Rent and Occupancy,40000,38000,2000
OPERATING EXPENSES,Equipment Lease and Maintenance,12000,11000,1000
OPERATING EXPENSES,Utilities,7000,6500,500
OPERATING EXPENSES,Insurance - Malpractice and Business,9000,8500,500
OPERATING EXPENSES,Marketing and Advertising,12000,9000,3000
OPERATING EXPENSES,Office Supplies and Software,8000,7000,1000
OPERATING EXPENSES,Professional Fees - Accounting and Legal,6000,5500,500
OPERATING EXPENSES,Continuing Education and Licenses,4000,3500,500
OPERATING EXPENSES,Bank and Merchant Fees,6500,6000,500
OPERATING EXPENSES,Telephone and Internet,3500,3200,300
OPERATING EXPENSES,Travel and Meals,2000,1500,500
OPERATING EXPENSES,Depreciation - Indirect,10000,10000,0
OPERATING EXPENSES,Other Administrative Expense,3000,2500,500
OPERATING EXPENSES,TOTAL OPERATING EXPENSES,226000,206200,19800
SUMMARY,OPERATING PROFIT (LOSS),31000,23800,7200
INTEREST AND TAXES,Interest (Income),-500,-400,-100
INTEREST AND TAXES,Interest Expense,3000,2500,500
INTEREST AND TAXES,Income Tax Expense,8500,6400,2100
INTEREST AND TAXES,TOTAL INTEREST AND TAXES,11000,8500,2500
SUMMARY,NET INCOME (LOSS),20000,15300,4700
