Section,Line Item,Current Period,Prior Period,Change
REVENUES,Full Kitchen Remodels,39272.73,37701.82,1570.91
REVENUES,Bath Remodels,43636.36,41890.91,1745.45
REVENUES,Cabinet Installations,48000.0,46080.0,1920.0
REVENUES,Countertop Installations,39272.73,37701.82,1570.91
REVENUES,Flooring Installations,43636.36,41890.91,1745.45
REVENUES,Lighting & Electrical Upgrades,48000.0,46080.0,1920.0
REVENUES,Plumbing Upgrades,39272.73,37701.82,1570.91
REVENUES,Design Fees,43636.36,41890.91,1745.45
REVENUES,Change Orders,48000.0,46080.0,1920.0
REVENUES,Service Calls / Punch List,39272.73,37701.82,1570.91
REVENUES,Other Project Income,43636.36,41890.91,1745.45
REVENUES,TOTAL REVENUE,475636.36,456610.91,19025.45
COST OF GOODS SOLD,Direct Labor - Installers,21403.64,20761.53,642.11
COST OF GOODS SOLD,Subcontractors - Plumbing,24257.45,23529.73,727.72
COST OF GOODS SOLD,Subcontractors - Electrical,27111.27,26297.93,813.34
COST OF GOODS SOLD,Subcontractors - Tile & Flooring,29965.09,29066.14,898.95
COST OF GOODS SOLD,Cabinet Costs,21403.64,20761.53,642.11
COST OF GOODS SOLD,Countertop Materials,24257.45,23529.73,727.72
COST OF GOODS SOLD,Appliance Costs,27111.27,26297.93,813.34
COST OF GOODS SOLD,"Rough Materials (Lumber, Drywall)",29965.09,29066.14,898.95
COST OF GOODS SOLD,Hardware & Fixtures,21403.64,20761.53,642.11
COST OF GOODS SOLD,Disposal & Dumpster Fees,24257.45,23529.73,727.72
COST OF GOODS SOLD,Jobsite Fuel & Transport,27111.27,26297.93,813.34
COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,278247.26,269899.84,8347.42
OPERATING EXPENSES,Owner / Project Manager Salary,6896.73,6758.8,137.93
OPERATING EXPENSES,Design Staff Wages,7663.03,7509.77,153.26
OPERATING EXPENSES,Office Admin Wages,8429.33,8260.74,168.59
OPERATING EXPENSES,Payroll Taxes & Benefits,6896.73,6758.8,137.93
OPERATING EXPENSES,Showroom Rent,7663.03,7509.77,153.26
OPERATING EXPENSES,Warehouse Rent,8429.33,8260.74,168.59
OPERATING EXPENSES,Utilities,6896.73,6758.8,137.93
OPERATING EXPENSES,Insurance - Liability,7663.03,7509.77,153.26
OPERATING EXPENSES,Insurance - Property,8429.33,8260.74,168.59
OPERATING EXPENSES,Marketing & Showroom Events,6896.73,6758.8,137.93
OPERATING EXPENSES,Website & CRM Software,7663.03,7509.77,153.26
OPERATING EXPENSES,Accounting & Legal,8429.33,8260.74,168.59
OPERATING EXPENSES,Vehicle Fuel - Sales,6896.73,6758.8,137.93
OPERATING EXPENSES,Vehicle Maintenance - Sales,7663.03,7509.77,153.26
OPERATING EXPENSES,Office Supplies & Printing,8429.33,8260.74,168.59
OPERATING EXPENSES,Trade Show & Industry Events,6896.73,6758.8,137.93
OPERATING EXPENSES,Dues & Subscriptions,7663.03,7509.77,153.26
OPERATING EXPENSES,Bank & Merchant Fees,8429.33,8260.74,168.59
OPERATING EXPENSES,TOTAL OPERATING EXPENSES,137934.54,135175.85,2758.69
SUMMARY,GROSS PROFIT (LOSS),197389.1,186711.06,10678.04
SUMMARY,OPERATING PROFIT (LOSS),59454.56,51535.21,7919.35
SUMMARY,NET INCOME (LOSS),59454.56,51535.21,7919.35
