Month,Total_Revenue,Total_COGS,Gross_Profit,Operating_Expenses,Net_Income
Jan,415706,232795,182911,124712,58199
Feb,420082,235246,184836,196598,-11762
Mar,498277,279035,219242,149483,69759
Apr,503414,281912,221502,151024,70478
May,508550,284788,223762,152565,71197
Jun,475636,266356,209280,142691,66589
Jul,480393,269020,211373,144118,67255
Aug,485149,271683,213466,145545,67921
Sep,529098,296295,232803,158729,74074
Oct,534235,299172,235063,250021,-14958
Nov,499418,279674,219744,149825,69919
Dec,504175,282338,221837,151252,70585
