Section,Line Item,Current Period,Prior Period,Change
REVENUES,Weekly Mowing,10350.0,9936.0,414.0
REVENUES,Fertilization & Weed Control,11500.0,11040.0,460.0
REVENUES,Aeration & Overseeding,12650.0,12144.0,506.0
REVENUES,Mulch & Bed Maintenance,10350.0,9936.0,414.0
REVENUES,Landscape Installations,11500.0,11040.0,460.0
REVENUES,Tree & Shrub Care,12650.0,12144.0,506.0
REVENUES,Snow Removal (Seasonal),10350.0,9936.0,414.0
REVENUES,Irrigation Maintenance,11500.0,11040.0,460.0
REVENUES,One-Time Cleanups,12650.0,12144.0,506.0
REVENUES,Other Service Income,10350.0,9936.0,414.0
REVENUES,TOTAL REVENUE,113850.0,109296.0,4554.0
COST OF GOODS SOLD,Crew Labor - Field,4781.7,4638.25,143.45
COST OF GOODS SOLD,Fertilizer & Chemicals,5419.26,5256.68,162.58
COST OF GOODS SOLD,Seed & Sod,6056.82,5875.12,181.7
COST OF GOODS SOLD,Mulch & Hardscape Materials,6694.38,6493.55,200.83
COST OF GOODS SOLD,Fuel - Mowers & Trucks,4781.7,4638.25,143.45
COST OF GOODS SOLD,Equipment Repair & Blades,5419.26,5256.68,162.58
COST OF GOODS SOLD,Snow Removal Materials (Salt etc.),6056.82,5875.12,181.7
COST OF GOODS SOLD,Disposal & Dump Fees,6694.38,6493.55,200.83
COST OF GOODS SOLD,Irrigation Parts,4781.7,4638.25,143.45
COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,50686.02,49165.44,1520.58
OPERATING EXPENSES,Owner / Manager Salary,1912.68,1874.43,38.25
OPERATING EXPENSES,Office Staff Wages,2125.2,2082.7,42.5
OPERATING EXPENSES,Payroll Taxes & Benefits,2337.72,2290.97,46.75
OPERATING EXPENSES,Office Rent / Storage Yard,1912.68,1874.43,38.25
OPERATING EXPENSES,Utilities,2125.2,2082.7,42.5
OPERATING EXPENSES,General Liability Insurance,2337.72,2290.97,46.75
OPERATING EXPENSES,Vehicle Insurance,1912.68,1874.43,38.25
OPERATING EXPENSES,Advertising & Yard Signs,2125.2,2082.7,42.5
OPERATING EXPENSES,Website & Scheduling Software,2337.72,2290.97,46.75
OPERATING EXPENSES,Accounting & Legal,1912.68,1874.43,38.25
OPERATING EXPENSES,Phones & Internet,2125.2,2082.7,42.5
OPERATING EXPENSES,Uniforms & PPE,2337.72,2290.97,46.75
OPERATING EXPENSES,Small Tools & Equipment,1912.68,1874.43,38.25
OPERATING EXPENSES,Dues & Subscriptions,2125.2,2082.7,42.5
OPERATING EXPENSES,Bank & Merchant Fees,2337.72,2290.97,46.75
OPERATING EXPENSES,TOTAL OPERATING EXPENSES,31878.0,31240.44,637.56
SUMMARY,GROSS PROFIT (LOSS),63163.98,60130.56,3033.42
SUMMARY,OPERATING PROFIT (LOSS),31285.98,28890.12,2395.86
SUMMARY,NET INCOME (LOSS),31285.98,28890.12,2395.86
