Section,Line Item,Current Period,Prior Period,Change
REVENUES,Office Visits,34363.64,32989.09,1374.55
REVENUES,Physical Exams,38181.82,36654.55,1527.27
REVENUES,Procedures & Minor Surgery,42000.0,40320.0,1680.0
REVENUES,Telehealth Visits,34363.64,32989.09,1374.55
REVENUES,Immunizations,38181.82,36654.55,1527.27
REVENUES,Lab Services,42000.0,40320.0,1680.0
REVENUES,Imaging Services,34363.64,32989.09,1374.55
REVENUES,Chronic Care Management,38181.82,36654.55,1527.27
REVENUES,Workers Comp & Occupational Health,42000.0,40320.0,1680.0
REVENUES,Other Clinical Services,34363.64,32989.09,1374.55
REVENUES,Retail/Dispensary Income,38181.82,36654.55,1527.27
REVENUES,TOTAL REVENUE,416181.84,399534.57,16647.27
COST OF GOODS SOLD,Medical Supplies,11653.09,11303.5,349.59
COST OF GOODS SOLD,Vaccines & Immunizations,13206.84,12810.63,396.21
COST OF GOODS SOLD,Lab Processing Fees,14760.58,14317.76,442.82
COST OF GOODS SOLD,Imaging Outsourcing Costs,16314.33,15824.9,489.43
COST OF GOODS SOLD,Disposable Instruments,11653.09,11303.5,349.59
COST OF GOODS SOLD,Clinical Subscriptions & Licenses,13206.84,12810.63,396.21
COST OF GOODS SOLD,Pharmaceutical Inventory (if dispensing),14760.58,14317.76,442.82
COST OF GOODS SOLD,Medical Waste Disposal,16314.33,15824.9,489.43
COST OF GOODS SOLD,Minor Equipment Replacement,11653.09,11303.5,349.59
COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,123522.77,119817.09,3705.68
OPERATING EXPENSES,Physician Compensation,8614.96,8442.66,172.3
OPERATING EXPENSES,Nurse & MA Wages,9572.18,9380.74,191.44
OPERATING EXPENSES,Front Office Staff Wages,10529.4,10318.81,210.59
OPERATING EXPENSES,Billing Staff / Outsourced Billing,8614.96,8442.66,172.3
OPERATING EXPENSES,Payroll Taxes & Benefits,9572.18,9380.74,191.44
OPERATING EXPENSES,Office Rent,10529.4,10318.81,210.59
OPERATING EXPENSES,Utilities,8614.96,8442.66,172.3
OPERATING EXPENSES,EMR / Practice Mgmt Software,9572.18,9380.74,191.44
OPERATING EXPENSES,IT Support & Hosting,10529.4,10318.81,210.59
OPERATING EXPENSES,Malpractice Insurance,8614.96,8442.66,172.3
OPERATING EXPENSES,General Liability Insurance,9572.18,9380.74,191.44
OPERATING EXPENSES,Medical Waste Service,10529.4,10318.81,210.59
OPERATING EXPENSES,Janitorial Services,8614.96,8442.66,172.3
OPERATING EXPENSES,Marketing / Community Outreach,9572.18,9380.74,191.44
OPERATING EXPENSES,Continuing Medical Education,10529.4,10318.81,210.59
OPERATING EXPENSES,Licenses & Certifications,8614.96,8442.66,172.3
OPERATING EXPENSES,Professional Fees (CPA/Legal),9572.18,9380.74,191.44
OPERATING EXPENSES,Office & Medical Equipment Lease,10529.4,10318.81,210.59
OPERATING EXPENSES,Office Supplies,8614.96,8442.66,172.3
OPERATING EXPENSES,Owner Compensation,9572.18,9380.74,191.44
OPERATING EXPENSES,TOTAL OPERATING EXPENSES,190486.38,186676.65,3809.73
SUMMARY,GROSS PROFIT (LOSS),292659.07,279717.48,12941.59
SUMMARY,OPERATING PROFIT (LOSS),102172.69,93040.83,9131.86
SUMMARY,NET INCOME (LOSS),102172.69,93040.83,9131.86
