Month,Total_Revenue,Total_COGS,Gross_Profit,Operating_Expenses,Net_Income
Jan,395373,110704,284669,189779,94890
Feb,399535,111870,287665,306842,-19177
Mar,403696,113035,290661,193774,96887
Apr,407858,114200,293658,195772,97886
May,412020,115366,296654,197770,98884
Jun,416182,116531,299651,199767,99884
Jul,420344,117696,302648,201765,100883
Aug,424505,118861,305644,203762,101882
Sep,428667,120027,308640,205760,102880
Oct,432829,121192,311637,332412,-20775
Nov,436991,122357,314634,209756,104878
Dec,441153,123523,317630,211753,105877
