Section,Line Item,Current Period,Prior Period,Change
REVENUES,Dine-In Food,23000.0,22080.0,920.0
REVENUES,Takeout & Delivery Food,25555.56,24533.34,1022.22
REVENUES,Alcoholic Beverages,28111.11,26986.67,1124.44
REVENUES,Non-Alcoholic Beverages,23000.0,22080.0,920.0
REVENUES,Catering & Events,25555.56,24533.34,1022.22
REVENUES,Gift Cards Redeemed,28111.11,26986.67,1124.44
REVENUES,Private Room Fees,23000.0,22080.0,920.0
REVENUES,Service Charges,25555.56,24533.34,1022.22
REVENUES,Other Operating Income,28111.11,26986.67,1124.44
REVENUES,TOTAL REVENUE,230000.01,220800.01,9200.0
COST OF GOODS SOLD,Food Ingredients,9315.0,9035.55,279.45
COST OF GOODS SOLD,Beer & Wine Purchases,10557.0,10240.29,316.71
COST OF GOODS SOLD,Spirits & Liquor Purchases,11799.0,11445.03,353.97
COST OF GOODS SOLD,Non-Alcoholic Beverage Purchases,13041.0,12649.77,391.23
COST OF GOODS SOLD,Paper Goods & Packaging,9315.0,9035.55,279.45
COST OF GOODS SOLD,Kitchen Smallwares & Breakage,10557.0,10240.29,316.71
COST OF GOODS SOLD,Comped Meals & Discounts,11799.0,11445.03,353.97
COST OF GOODS SOLD,Condiments & Tabletop Supplies,13041.0,12649.77,391.23
COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,89424.0,86741.28,2682.72
OPERATING EXPENSES,Kitchen Wages,6331.76,6205.12,126.64
OPERATING EXPENSES,Front-of-House Wages,7035.29,6894.58,140.71
OPERATING EXPENSES,Manager Salaries,7738.82,7584.04,154.78
OPERATING EXPENSES,Payroll Taxes & Benefits,6331.76,6205.12,126.64
OPERATING EXPENSES,Rent / Lease,7035.29,6894.58,140.71
OPERATING EXPENSES,Utilities (Gas/Electric/Water),7738.82,7584.04,154.78
OPERATING EXPENSES,Trash & Grease Removal,6331.76,6205.12,126.64
OPERATING EXPENSES,Repairs & Maintenance,7035.29,6894.58,140.71
OPERATING EXPENSES,Cleaning & Linen Service,7738.82,7584.04,154.78
OPERATING EXPENSES,Advertising & Social Media,6331.76,6205.12,126.64
OPERATING EXPENSES,Online Ordering Platform Fees,7035.29,6894.58,140.71
OPERATING EXPENSES,Insurance (Liability & Property),7738.82,7584.04,154.78
OPERATING EXPENSES,Licenses & Permits,6331.76,6205.12,126.64
OPERATING EXPENSES,Credit Card & Merchant Fees,7035.29,6894.58,140.71
OPERATING EXPENSES,Office & Admin Supplies,7738.82,7584.04,154.78
OPERATING EXPENSES,Music/Entertainment Fees,6331.76,6205.12,126.64
OPERATING EXPENSES,Owner Salary / Management Fee,7035.29,6894.58,140.71
OPERATING EXPENSES,TOTAL OPERATING EXPENSES,118896.4,116518.47,2377.93
SUMMARY,GROSS PROFIT (LOSS),140576.01,134058.73,6517.28
SUMMARY,OPERATING PROFIT (LOSS),21679.61,17540.26,4139.35
SUMMARY,NET INCOME (LOSS),21679.61,17540.26,4139.35
