Month,Total_Revenue,Total_COGS,Gross_Profit,Operating_Expenses,Net_Income
Jan,196650,72760,123890,104224,19666
Feb,198720,73526,125194,129168,-3974
Mar,223100,82547,140553,118243,22310
Apr,225400,83398,142002,119462,22540
May,255024,94359,160665,135163,25502
Jun,257600,95312,162288,136528,25760
Jul,260176,96265,163911,137893,26018
Aug,262752,97218,165534,139259,26275
Sep,236900,87653,149247,125557,23690
Oct,239200,88504,150696,155480,-4784
Nov,241500,89355,152145,127995,24150
Dec,243800,90206,153594,129214,24380
