Section,Line Item,Current Period,Prior Period,Change
REVENUES,Linehaul Revenue,307500.0,295200.0,12300.0
REVENUES,Fuel Surcharge Revenue,341666.67,328000.0,13666.67
REVENUES,Detention & Layover,375833.33,360800.0,15033.33
REVENUES,Lumper & Handling Revenue,307500.0,295200.0,12300.0
REVENUES,Accessorial Fees,341666.67,328000.0,13666.67
REVENUES,Other Operating Revenue,375833.33,360800.0,15033.33
REVENUES,TOTAL REVENUE,2050000.0,1968000.0,82000.0
COST OF GOODS SOLD,Driver Wages,103990.91,100871.18,3119.73
COST OF GOODS SOLD,Owner-Operator Settlements,117856.36,114320.67,3535.69
COST OF GOODS SOLD,Fuel Expense,131721.82,127770.17,3951.65
COST OF GOODS SOLD,Fuel Taxes & IFTA,145587.27,141219.65,4367.62
COST OF GOODS SOLD,Truck Repairs & Maintenance,103990.91,100871.18,3119.73
COST OF GOODS SOLD,Tires & Wear,117856.36,114320.67,3535.69
COST OF GOODS SOLD,Truck Leases & Rentals,131721.82,127770.17,3951.65
COST OF GOODS SOLD,"Insurance (Auto, Cargo, Liability)",145587.27,141219.65,4367.62
COST OF GOODS SOLD,"Tolls, Scales & Parking",103990.91,100871.18,3119.73
COST OF GOODS SOLD,Broker & Load Board Fees,117856.36,114320.67,3535.69
COST OF GOODS SOLD,Other Direct Trucking Costs,131721.82,127770.17,3951.65
COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD,1351881.81,1311325.36,40556.45
OPERATING EXPENSES,Dispatch Payroll,10542.86,10332.0,210.86
OPERATING EXPENSES,Back Office Staff Wages,11714.29,11480.0,234.29
OPERATING EXPENSES,Payroll Taxes & Benefits,12885.71,12628.0,257.71
OPERATING EXPENSES,Office Rent / Terminal,10542.86,10332.0,210.86
OPERATING EXPENSES,Utilities & Internet,11714.29,11480.0,234.29
OPERATING EXPENSES,"Compliance & Safety (Drug Tests, DOT)",12885.71,12628.0,257.71
OPERATING EXPENSES,"Licensing & Permits (IRP, UCR)",10542.86,10332.0,210.86
OPERATING EXPENSES,ELD / GPS Systems,11714.29,11480.0,234.29
OPERATING EXPENSES,Professional Fees (Accounting/Legal),12885.71,12628.0,257.71
OPERATING EXPENSES,IT & TMS Software,10542.86,10332.0,210.86
OPERATING EXPENSES,Marketing & Client Outreach,11714.29,11480.0,234.29
OPERATING EXPENSES,Office Supplies & Misc,12885.71,12628.0,257.71
OPERATING EXPENSES,Bank & Merchant Fees,10542.86,10332.0,210.86
OPERATING EXPENSES,Owner / Management Compensation,11714.29,11480.0,234.29
OPERATING EXPENSES,TOTAL OPERATING EXPENSES,162828.59,159572.02,3256.57
SUMMARY,GROSS PROFIT (LOSS),698118.19,656674.64,41443.55
SUMMARY,OPERATING PROFIT (LOSS),535289.6,497102.63,38186.97
SUMMARY,NET INCOME (LOSS),535289.6,497102.63,38186.97
