Month,Total_Revenue,Total_COGS,Gross_Profit,Operating_Expenses,Net_Income
Jan,1947500,1246400,701100,155800,545300
Feb,1968000,1259520,708480,818688,-110208
Mar,1988500,1272640,715860,159080,556780
Apr,2009000,1285760,723240,160720,562520
May,2029500,1298880,730620,162360,568260
Jun,2050000,1312000,738000,164000,574000
Jul,2070500,1325120,745380,165640,579740
Aug,2091000,1338240,752760,167280,585480
Sep,2322650,1486496,836154,185812,650342
Oct,2345200,1500928,844272,975603,-131331
Nov,2367750,1515360,852390,189420,662970
Dec,2173000,1390720,782280,173840,608440
