Zip,City,State,Latitude,Longitude,New_Customers,Visits,Revenue_Current,Revenue_Prior,Profit_Current,Profit_Prior
20148,Ashburn,VA,39.02,-77.50,42,180,265000,245000,32000,29000
20147,Ashburn,VA,39.04,-77.49,38,165,245000,230000,29500,27000
20176,Leesburg,VA,39.11,-77.56,30,140,215000,200000,26000,24000
20175,Leesburg,VA,39.10,-77.55,28,135,205000,195000,25000,23500
22102,Tysons,VA,38.93,-77.23,34,155,235000,220000,27000,25000
22101,McLean,VA,38.94,-77.18,26,125,210000,198000,24000,22500
22030,Fairfax,VA,38.85,-77.30,40,175,255000,238000,30000,28000
22031,Fairfax,VA,38.86,-77.29,36,165,240000,225000,28500,26500
22314,Alexandria,VA,38.80,-77.04,32,150,230000,215000,27000,25000
22304,Alexandria,VA,38.82,-77.10,29,140,220000,208000,25500,24000
20852,Rockville,MD,39.06,-77.12,28,135,215000,205000,24500,23000
20850,Rockville,MD,39.09,-77.18,26,130,210000,198000,24000,22000
20910,Silver Spring,MD,39.00,-77.03,24,120,195000,185000,22000,20500
20036,Washington,DC,38.90,-77.04,22,110,185000,175000,20000,18500
20007,Washington,DC,38.91,-77.07,20,105,180000,170000,19500,18000
