Zip,City,State,Latitude,Longitude,New_Customers,Visits,Revenue_Current,Revenue_Prior,Profit_Current,Profit_Prior
22031,Fairfax,VA,38.8601,-77.2640,6,18,245000,228000,46000,42000
22032,Fairfax,VA,38.8290,-77.2868,5,16,228000,219000,42500,40500
22030,Fairfax,VA,38.8462,-77.3064,5,17,255000,243000,48000,45500
22033,Fairfax,VA,38.8747,-77.3928,4,14,198000,189000,35500,34000
22042,Falls Church,VA,38.8691,-77.1922,4,16,215000,212000,38500,38000
22043,Falls Church,VA,38.8936,-77.1970,3,12,168000,175000,30000,31200
22044,Falls Church,VA,38.8548,-77.1531,3,10,152000,148000,27800,27100
22046,Falls Church,VA,38.8823,-77.1711,4,15,189000,181000,34200,32800
22003,Annandale,VA,38.8304,-77.1964,4,13,175000,168000,32000,30500
22041,Annandale,VA,38.8458,-77.1282,3,11,159000,153000,28900,27800
20120,Chantilly,VA,38.8758,-77.4388,5,16,221000,214000,39200,38500
20121,Centerville,VA,38.8340,-77.4353,3,11,167000,176000,26800,29600
20124,Clifton,VA,38.7809,-77.3864,2,8,139000,131000,23100,22500
20151,Chantilly,VA,38.8943,-77.4445,4,13,188000,180000,34200,33400
20152,Chantilly,VA,38.9011,-77.4728,4,12,179000,172000,32100,31000
22150,Springfield,VA,38.7797,-77.1866,4,14,198500,190000,34700,33200
22151,Springfield,VA,38.8064,-77.2053,3,10,156000,150000,27800,26800
22152,Springfield,VA,38.7759,-77.2421,3,11,162000,158000,28900,28200
22153,Springfield,VA,38.7452,-77.2382,2,9,138000,132000,23100,22400
22304,Alexandria,VA,38.8130,-77.1167,3,12,171000,165000,31000,29500
22306,Alexandria,VA,38.7400,-77.0910,3,10,154000,150000,27800,27100
22307,Alexandria,VA,38.7767,-77.0611,2,8,133000,138000,24200,25100
22308,Alexandria,VA,38.7286,-77.0582,2,7,127000,121000,23300,22200
22309,Alexandria,VA,38.7155,-77.1054,3,11,148000,142000,26500,25400
22310,Alexandria,VA,38.7850,-77.1269,2,9,136000,129000,24100,22800
22311,Alexandria,VA,38.8373,-77.1114,1,6,89000,94000,13600,14500
22312,Alexandria,VA,38.8171,-77.1550,2,8,118000,122000,18500,19400
22314,Alexandria,VA,38.8048,-77.0469,4,15,195000,187000,35500,34200
22315,Alexandria,VA,38.7602,-77.1450,3,10,152000,157000,28000,28900
20190,Reston,VA,38.9576,-77.3411,4,13,189000,182000,34500,33100
20191,Reston,VA,38.9381,-77.3541,3,11,164000,159000,29600,28700
20170,Herndon,VA,38.9696,-77.3861,3,10,158000,154000,28500,27800
20171,Herndon,VA,38.9346,-77.3995,2,9,146000,143000,26300,25800
