Zip,City,State,Latitude,Longitude,New_Customers,Visits,Revenue_Current,Revenue_Prior,Profit_Current,Profit_Prior
22031,Fairfax,VA,38.8601,-77.2640,35,180,82000,76000,28000,25000
22032,Fairfax,VA,38.8290,-77.2868,22,135,61000,58000,21500,20500
22030,Fairfax,VA,38.8462,-77.3064,28,150,68000,64000,23800,22300
22033,Fairfax,VA,38.8747,-77.3928,18,120,52000,49500,16500,15800
22034,Fairfax,VA,38.8469,-77.3050,14,98,41000,42000,12800,13200
22035,Fairfax,VA,38.8460,-77.3062,12,85,38000,35000,12100,11300
20120,Chantilly,VA,38.8758,-77.4388,14,90,39000,41000,11800,13000
20121,Centerville,VA,38.8340,-77.4353,9,65,31000,34000,8400,10200
20124,Clifton,VA,38.7809,-77.3864,7,52,27000,26000,9100,9000
20151,Chantilly,VA,38.8943,-77.4445,12,88,43000,44500,14000,14700
20152,Chantilly,VA,38.9011,-77.4728,10,75,36000,38000,12200,13000
22079,Lorton,VA,38.6969,-77.2281,15,102,49500,47000,15800,15200
22150,Springfield,VA,38.7797,-77.1866,17,110,52000,50500,16400,15800
22151,Springfield,VA,38.8064,-77.2053,8,60,31000,29500,9300,9000
22152,Springfield,VA,38.7759,-77.2421,11,78,36500,35200,11200,10900
22153,Springfield,VA,38.7452,-77.2382,9,66,32900,31800,10100,9800
22304,Alexandria,VA,38.8130,-77.1167,16,140,56000,54500,18000,17300
22306,Alexandria,VA,38.7400,-77.0910,13,118,47000,45500,15000,14600
22307,Alexandria,VA,38.7767,-77.0611,8,70,33000,32200,10300,10100
22308,Alexandria,VA,38.7286,-77.0582,7,58,29800,31000,8900,9300
22309,Alexandria,VA,38.7155,-77.1054,12,100,44000,42500,14300,13900
22310,Alexandria,VA,38.7850,-77.1269,12,70,36000,33000,12000,11000
22311,Alexandria,VA,38.8373,-77.1114,5,40,21000,22000,5800,6400
22312,Alexandria,VA,38.8171,-77.1550,9,72,34500,33000,11100,10800
22314,Alexandria,VA,38.8048,-77.0469,18,130,59000,56000,18800,17800
22315,Alexandria,VA,38.7602,-77.1450,7,82,59000,61000,14100,15000
22101,McLean,VA,38.9360,-77.1784,10,98,52000,50500,17000,16500
22102,Tysons,VA,38.9382,-77.2617,14,110,69000,67000,21500,21000
22124,Oakton,VA,38.8803,-77.3003,11,90,46500,45000,14800,14300
22066,Great Falls,VA,39.0110,-77.2917,6,48,28000,29000,9100,9500
22180,Vienna,VA,38.9012,-77.2650,19,145,72000,69000,24000,22800
22181,Vienna,VA,38.8950,-77.2862,12,100,56000,54500,18000,17500
22182,Vienna,VA,38.9220,-77.2566,15,120,65000,63000,21000,20300
20190,Reston,VA,38.9576,-77.3411,21,150,71000,68500,23500,22700
20191,Reston,VA,38.9381,-77.3541,16,115,58000,57000,18800,18400
20170,Herndon,VA,38.9696,-77.3861,14,95,52000,50500,16500,16000
