Zip,City,State,Latitude,Longitude,New_Customers,Visits,Revenue_Current,Revenue_Prior,Profit_Current,Profit_Prior
22031,Fairfax,VA,38.8601,-77.2640,3,9,186000,174000,39000,36000
22032,Fairfax,VA,38.8290,-77.2868,3,8,171000,166000,35500,34200
22030,Fairfax,VA,38.8462,-77.3064,4,10,204000,198000,43000,41800
22033,Fairfax,VA,38.8747,-77.3928,3,9,178000,174000,37500,36400
22034,Fairfax,VA,38.8469,-77.3050,2,7,152000,150000,32200,31800
22035,Fairfax,VA,38.8460,-77.3062,2,6,139000,136000,28900,28200
20120,Chantilly,VA,38.8758,-77.4388,3,8,162000,158000,32200,31600
20121,Centerville,VA,38.8340,-77.4353,2,6,141000,146000,26600,27900
20124,Clifton,VA,38.7809,-77.3864,2,6,133000,130000,25400,24800
20151,Chantilly,VA,38.8943,-77.4445,3,8,165000,160000,33400,32300
20152,Chantilly,VA,38.9011,-77.4728,3,7,154000,150000,31000,30100
22150,Springfield,VA,38.7797,-77.1866,3,8,168000,162000,34200,33000
22151,Springfield,VA,38.8064,-77.2053,2,6,142000,138000,28900,28000
22152,Springfield,VA,38.7759,-77.2421,2,6,147000,143000,29500,28900
22153,Springfield,VA,38.7452,-77.2382,2,6,133000,128000,26300,25200
22304,Alexandria,VA,38.8130,-77.1167,2,6,149000,144000,30000,28900
22306,Alexandria,VA,38.7400,-77.0910,2,6,139000,136000,28100,27400
22307,Alexandria,VA,38.7767,-77.0611,1,4,101000,105000,19800,20600
22308,Alexandria,VA,38.7286,-77.0582,1,4,98000,96000,18500,17800
22309,Alexandria,VA,38.7155,-77.1054,2,5,125000,128000,24500,25000
22310,Alexandria,VA,38.7850,-77.1269,2,6,136000,132000,25900,24800
22311,Alexandria,VA,38.8373,-77.1114,1,4,81000,84000,15400,16100
22312,Alexandria,VA,38.8171,-77.1550,1,4,98000,101000,18500,19200
22314,Alexandria,VA,38.8048,-77.0469,3,9,178000,172000,36000,35000
22315,Alexandria,VA,38.7602,-77.1450,2,6,144000,140000,29000,28300
22101,McLean,VA,38.9360,-77.1784,3,7,182000,176000,36000,35000
22102,Tysons,VA,38.9382,-77.2617,4,9,215000,209000,42000,40500
22124,Oakton,VA,38.8803,-77.3003,2,6,147000,144000,29400,28800
22180,Vienna,VA,38.9012,-77.2650,3,7,189000,185000,38000,37200
22181,Vienna,VA,38.8950,-77.2862,2,6,168000,164000,34500,33700
22182,Vienna,VA,38.9220,-77.2566,3,7,196000,193000,39200,38400
20190,Reston,VA,38.9576,-77.3411,3,6,175000,171000,35000,34200
20191,Reston,VA,38.9381,-77.3541,2,5,154000,151000,31000,30300
20170,Herndon,VA,38.9696,-77.3861,2,6,150000,147000,29800,29200
20171,Herndon,VA,38.9346,-77.3995,2,5,138000,136000,27600,27000
