Zip,City,State,Latitude,Longitude,New_Customers,Visits,Revenue_Current,Revenue_Prior,Profit_Current,Profit_Prior
22031,Fairfax,VA,38.8601,-77.2640,42,260,142000,134000,41000,38500
22032,Fairfax,VA,38.8290,-77.2868,25,190,112000,105000,32000,30500
22030,Fairfax,VA,38.8462,-77.3064,29,210,156000,148000,47000,44500
22033,Fairfax,VA,38.8747,-77.3928,22,180,128000,120000,36500,34800
22042,Falls Church,VA,38.8691,-77.1922,20,165,98000,95000,28500,27600
22043,Falls Church,VA,38.8936,-77.1970,18,158,94500,91000,27400,26500
22044,Falls Church,VA,38.8548,-77.1531,16,140,86000,84000,24300,23600
22046,Falls Church,VA,38.8823,-77.1711,17,150,89500,87000,26000,25200
22003,Annandale,VA,38.8304,-77.1964,20,165,98000,95000,28500,27600
22041,Annandale,VA,38.8458,-77.1282,15,132,88000,86500,25500,24800
20120,Chantilly,VA,38.8758,-77.4388,16,145,91000,89000,26200,25500
20121,Centerville,VA,38.8340,-77.4353,12,118,78000,76500,21800,21400
20124,Clifton,VA,38.7809,-77.3864,10,100,71000,70000,19800,19400
20151,Chantilly,VA,38.8943,-77.4445,14,135,86000,84000,25000,24200
20152,Chantilly,VA,38.9011,-77.4728,11,108,78000,76000,22600,21800
22150,Springfield,VA,38.7797,-77.1866,19,168,118000,113000,34500,33200
22151,Springfield,VA,38.8064,-77.2053,12,110,87500,85500,25800,25100
22152,Springfield,VA,38.7759,-77.2421,11,102,84000,83500,24800,24600
22153,Springfield,VA,38.7452,-77.2382,10,90,76000,74000,21600,21000
22304,Alexandria,VA,38.8130,-77.1167,13,120,81000,78000,23800,22900
22306,Alexandria,VA,38.7400,-77.0910,11,104,78500,76500,22900,22200
22307,Alexandria,VA,38.7767,-77.0611,9,92,72000,70500,20800,20400
22308,Alexandria,VA,38.7286,-77.0582,8,85,69000,68000,19900,19600
22309,Alexandria,VA,38.7155,-77.1054,12,110,81000,79500,23900,23300
22310,Alexandria,VA,38.7850,-77.1269,13,120,83500,82000,24500,24000
22311,Alexandria,VA,38.8373,-77.1114,6,55,48500,49500,12800,13100
22312,Alexandria,VA,38.8171,-77.1550,10,95,74500,73000,22000,21400
22314,Alexandria,VA,38.8048,-77.0469,21,150,96000,93000,29000,28000
22315,Alexandria,VA,38.7602,-77.1450,9,82,59000,61000,14100,15000
20190,Reston,VA,38.9576,-77.3411,16,140,93000,90000,28000,27200
20191,Reston,VA,38.9381,-77.3541,14,125,87500,86000,25800,25200
20170,Herndon,VA,38.9696,-77.3861,13,118,83500,82000,24700,24200
20171,Herndon,VA,38.9346,-77.3995,12,112,79000,77500,23400,23000
22101,McLean,VA,38.9360,-77.1784,17,150,118000,114000,35200,34200
22102,Tysons,VA,38.9382,-77.2617,21,175,156000,149000,47000,45200
