Zip,City,State,Latitude,Longitude,New_Customers,Visits,Revenue_Current,Revenue_Prior,Profit_Current,Profit_Prior
22031,Fairfax,VA,38.8601,-77.2640,95,1480,186000,178500,33500,32000
22032,Fairfax,VA,38.8290,-77.2868,72,1215,154000,149000,27500,26500
22030,Fairfax,VA,38.8462,-77.3064,88,1390,172500,167000,30500,29200
22033,Fairfax,VA,38.8747,-77.3928,80,1320,165000,159500,29200,28000
22034,Fairfax,VA,38.8469,-77.3050,41,780,98000,95500,16500,16000
22035,Fairfax,VA,38.8460,-77.3062,36,715,91000,89000,15200,14800
22042,Falls Church,VA,38.8691,-77.1922,68,1180,148000,143000,26400,25400
22043,Falls Church,VA,38.8936,-77.1970,63,1105,139500,135000,25100,24200
22046,Falls Church,VA,38.8823,-77.1711,52,980,126000,122000,22600,21900
22003,Annandale,VA,38.8304,-77.1964,70,1250,151500,147500,27000,26200
22041,Annandale,VA,38.8458,-77.1282,54,1020,132000,128500,23600,22800
20120,Chantilly,VA,38.8758,-77.4388,60,1075,138000,134500,24400,23600
20121,Centerville,VA,38.8340,-77.4353,55,1010,131500,128000,23100,22400
20124,Clifton,VA,38.7809,-77.3864,32,620,84500,83000,14600,14200
20151,Chantilly,VA,38.8943,-77.4445,48,930,124000,120000,21600,20900
20152,Chantilly,VA,38.9011,-77.4728,44,880,118500,115000,20500,19900
22079,Lorton,VA,38.6969,-77.2281,58,1040,135500,132000,23800,23100
22150,Springfield,VA,38.7797,-77.1866,82,1390,168000,162000,29600,28500
22151,Springfield,VA,38.8064,-77.2053,47,880,121000,118000,21200,20600
22152,Springfield,VA,38.7759,-77.2421,45,850,118000,115000,20700,20200
22153,Springfield,VA,38.7452,-77.2382,40,780,110500,108000,19300,18800
22304,Alexandria,VA,38.8130,-77.1167,64,1205,149500,145000,26800,26000
22306,Alexandria,VA,38.7400,-77.0910,59,1120,141000,137000,25300,24500
22307,Alexandria,VA,38.7767,-77.0611,38,735,104500,102000,18700,18200
22308,Alexandria,VA,38.7286,-77.0582,34,680,98000,96500,17600,17200
22309,Alexandria,VA,38.7155,-77.1054,52,1020,135000,131000,24000,23200
22310,Alexandria,VA,38.7850,-77.1269,49,940,129500,126000,23000,22300
22311,Alexandria,VA,38.8373,-77.1114,31,640,94500,93000,16800,16500
22312,Alexandria,VA,38.8171,-77.1550,44,890,121500,118500,21400,20800
22314,Alexandria,VA,38.8048,-77.0469,88,1450,186500,179000,34000,32600
22315,Alexandria,VA,38.7602,-77.1450,56,1060,138000,134000,24800,24000
22101,McLean,VA,38.9360,-77.1784,66,1180,162000,157000,30200,29200
22102,Tysons,VA,38.9382,-77.2617,92,1550,198000,190500,36400,35000
22180,Vienna,VA,38.9012,-77.2650,79,1350,176000,170000,31800,30600
22181,Vienna,VA,38.8950,-77.2862,53,980,132500,129000,23500,22800
20190,Reston,VA,38.9576,-77.3411,84,1420,182000,175000,33000,31800
20170,Herndon,VA,38.9696,-77.3861,61,1125,146000,141500,26600,25600
