Zip,City,State,Latitude,Longitude,New_Customers,Visits,Revenue_Current,Revenue_Prior,Profit_Current,Profit_Prior
22031,Fairfax,VA,38.8601,-77.2640,4,95,820000,790000,118000,113000
22032,Fairfax,VA,38.8290,-77.2868,3,82,735000,710000,103000,99000
22030,Fairfax,VA,38.8462,-77.3064,3,78,702000,680000,99000,96000
22033,Fairfax,VA,38.8747,-77.3928,2,70,648000,630000,91000,88000
20120,Chantilly,VA,38.8758,-77.4388,3,88,690000,672000,96000,93000
20151,Chantilly,VA,38.8943,-77.4445,2,76,612000,598000,85500,83200
20152,Chantilly,VA,38.9011,-77.4728,2,70,585000,570000,81600,79200
22150,Springfield,VA,38.7797,-77.1866,4,105,860000,830000,124000,119000
22153,Springfield,VA,38.7452,-77.2382,2,80,648000,632000,92000,89400
22079,Lorton,VA,38.6969,-77.2281,3,92,735000,710000,105000,101000
22304,Alexandria,VA,38.8130,-77.1167,2,68,598000,582000,84000,81400
22306,Alexandria,VA,38.7400,-77.0910,2,65,576000,560000,81200,78400
20190,Reston,VA,38.9576,-77.3411,2,60,552000,540000,78000,76000
20170,Herndon,VA,38.9696,-77.3861,2,62,564000,550000,79500,77200
23224,Richmond,VA,37.4962,-77.4575,5,120,985000,948000,142000,136000
23234,Richmond,VA,37.4296,-77.4747,3,98,812000,788000,116000,112000
23860,Hopewell,VA,37.3043,-77.2872,3,90,780000,760000,110000,107000
23831,Chester,VA,37.3526,-77.4419,2,82,752000,734000,106000,103000
24012,Roanoke,VA,37.3050,-79.9120,3,88,765000,742000,108000,104000
24502,Lynchburg,VA,37.3663,-79.2020,2,80,715000,698000,101000,98000
21224,Baltimore,MD,39.2843,-76.5560,6,135,1125000,1082000,165000,158000
21222,Baltimore,MD,39.2653,-76.4947,3,102,894000,870000,132000,128000
20785,Hyattsville,MD,38.9252,-76.8897,2,76,648000,630000,93000,90000
21060,Glen Burnie,MD,39.1626,-76.5903,3,88,726000,703000,104000,100000
27610,Raleigh,NC,35.7732,-78.5620,4,115,968000,938000,139000,133000
28208,Charlotte,NC,35.2270,-80.9150,5,128,1055000,1018000,151000,145000
28273,Charlotte,NC,35.1287,-80.9395,3,102,876000,852000,124000,119000
30349,Atlanta,GA,33.6150,-84.4810,5,130,1082000,1040000,155000,148000
30336,Atlanta,GA,33.7623,-84.5467,4,118,996000,965000,142000,137000
31907,Columbus,GA,32.4790,-84.9110,2,78,648000,632000,92000,89200
75211,Dallas,TX,32.7328,-96.9084,4,120,1120000,1085000,162000,156000
75247,Dallas,TX,32.8130,-96.8803,3,105,985000,956000,141000,136000
77032,Houston,TX,29.9390,-95.3370,5,138,1245000,1202000,180000,173000
77029,Houston,TX,29.7813,-95.2644,4,122,1158000,1120000,169000,163000
60632,Chicago,IL,41.8090,-87.7130,5,140,1290000,1245000,186000,179000
60638,Chicago,IL,41.7875,-87.7715,4,120,1155000,1123000,167000,162000
44125,Cleveland,OH,41.4145,-81.6071,3,98,864000,842000,124000,120000
